"gene","A9","A21","A33"
"Solyc01g006880",42.801113848643,57.3687594878275,49.2046425189506
"Solyc01g015000",3.89501082668987,4.58329467184465,4.75105317450088
"Solyc01g065490",13.950331663793,14.2973554400963,14.8926870627809
"Solyc01g109830",45.4567489141825,37.4906618075635,34.5779480609501
"Solyc02g032120",57.4994335596515,70.2322957843037,73.0074870872665
"Solyc02g038760",53.0949062908469,81.8820124589002,45.3461067892895
"Solyc03g006350",18.08949820094,14.3278728696613,13.8589628017987
"Solyc03g007270",18.0013668492733,20.9304169909209,24.920102920748
"Solyc03g111640",38.0452810789422,61.5099961929011,31.5641952296584
"Solyc03g116880",18.8740125432859,24.2452887449777,14.3467079358242
"Solyc04g014250",42.174307192395,43.0028377543491,39.5758616906979
"Solyc04g063380",47.9117400696938,74.93458529835,56.1575630824894
"Solyc04g078540",30.216768333461,33.6447146587472,37.8634689783442
"Solyc04g081100",27.5068010576665,29.8469385512202,18.0102041190402
"Solyc04g082700",7.27511779985636,6.37113632220787,3.72031551966785
"Solyc05g014640",11.2931913285923,14.0773052873705,11.0780760397078
"Solyc05g051040",13.7254035031761,19.8194716886925,14.4055278904675
"Solyc06g005250",14.6928849683374,13.5794881422185,17.4726139264903
"Solyc06g062530",31.422388293949,35.2527152995675,27.6612876109973
"Solyc06g073670",22.3882647104364,25.3931817243738,21.9513354628342
"Solyc08g006820",55.7035334210845,45.1671697777278,57.4210344017323
"Solyc08g060810",49.3930382939068,60.2736368674765,63.5130169654024
"Solyc09g007290",35.5288696939347,37.4689082965148,39.5218078842018
"Solyc09g010640",8.85786262836973,10.7847866069409,11.9689950354114
"Solyc09g064280",31.7490445221807,23.709613531509,23.5159571283022
"Solyc09g066480",21.1275426407191,26.0730103302921,20.6511419820485
"Solyc09g072670",40.545432354678,39.7770200036292,37.65541189107
"Solyc09g074510",50.0680691370489,63.0602937674378,53.1810134222373
"Solyc09g075850",29.3545369592139,22.8703246582349,28.9661666102225
"Solyc11g072050",11.5844092441937,14.9092693003589,11.5472695361375
"Solyc12g005270",494.725834029347,713.356151486271,516.323216200587
"Solyc12g011340",23.089108611235,20.8989045654229,29.9071121809252
"Solyc12g014170",21.0847767292678,35.0949260122205,13.7339998060565
"Solyc12g044630",5.46640370656656,1.25928430078608,0.161866727059612
